Distance,Base 2,Base 3,Base 4,Base 4.75,Average,σ,UpperBound
2,0.670971731205671,0.655365801304937,0.64196498884737,0.638947011090955,0.651812383112233,0.0146309759445648,0.678742744705276
3,0.69,0.697876618977225,0.710721422346931,0.734585409323543,0.707424302213145,0.0206317380632703,0.810700052790296
4,0.892773636539916,0.895741609003176,0.886814696257049,0.894430191740122,0.892440033385066,0.00394194709541152,0.934213003998942
5,0.972684398994708,0.973857820560022,0.978089112908756,0.984010165540335,0.977160374500955,0.00512261038854835,1.01797674798544
6,1.05194333043055,1.05530287413136,1.05970487187111,1.05401365668596,1.05524118327975,0.00328181741088928,1.08700805748239
7,1.12640570706738,1.13333430780486,1.13450923182665,1.11431124309366,1.12714012244814,0.00926986545585836,1.15859353918255
8,1.19041753506535,1.19969501034695,1.20468899512953,1.18267784653844,1.19436984677007,0.00978375911417791,1.22453695613106
9,1.24438491713259,1.25957468340873,1.24468168488462,1.2506027375162,1.24981100573554,0.00711122612112244,1.27878485513828
10,1.31226381676261,1.31270076750933,1.30266902675288,1.29799502686783,1.30640715947316,0.00727203657680331,1.33123229213597
11,1.3537202148494,1.35041470692857,1.34976381676261,1.35568486939418,1.35239590198369,0.00279428688881499,1.37641306843758
12,1.40221999118612,1.41013943291595,1.40650281875443,1.39714126748098,1.40400087758437,0.0056025999414353,1.42489351423301
13,1.43964759555007,1.45,1.43971999118612,1.4456410438177,1.44258935294378,0.0033573022437701,1.46139431968389
14,1.4823555311371,1.48525978386564,1.47714759555007,1.48306864818165,1.48195788968362,0.00343672993832774,1.49447031018143
15,1.50613883008419,1.5073555311371,1.5198555311371,1.50368083649721,1.5092576822139,0.00722867040039644,NULL
