Distance,Base 2,Base 3,Base 4,Base 4.75,Average,σ
2,0.830994055431893,0.751177632107344,0.70,0.677481574079062,0.740158197683444,0.0679114821050733
3,0.835020028015162,0.772625600150024,0.758769811126935,0.768746622378541,0.783790515417666,0.0346481007410578
4,0.846225043670672,0.851686694681828,0.844441743889983,0.849635626972242,0.847997277303681,0.00326999592928076
5,0.922065420906982,0.928176067058597,0.932443730476215,0.932409957666645,0.92877379402711,0.00490066889997986
6,0.997684398994708,1.00509226921814,1.00747449449275,0.989205120759364,0.999864070866241,0.00823846249066275
7,1.06803398874989,1.07196954079803,1.07621665678542,1.04996495434241,1.06654628516894,0.0115481828692207
8,1.12760370692482,1.13867589849332,1.14154517052686,1.11995092223157,1.13194392454414,0.0100028827699069
9,1.17782601490961,1.19449268157628,1.18925679390686,1.17417597775545,1.18393786703705,0.00952792932694608
10,1.24099444873581,1.24032840013738,1.23,1.228642378768,1.23559966433103,0.00605236882971247
11,1.27957397423625,1.2762413500754,1.27511865206874,1.26112905330568,1.27301575742152,0.00814719903591834
12,1.32470810176057,1.329367434176,1.33,1.3085213426573,1.32219925835023,0.00932326105479721
13,1.3642135623731,1.36708137359524,1.36226381676261,1.34164813593038,1.35880172216533,0.0116056345791693
14,1.39400281875443,1.39538688151607,1.4037202148494,1.37936207534963,1.39311799761738,0.0101252679019969
15,1.42721999118612,1.4106694854211,1.43513943291595,1.40766758327045,1.42017412319841,0.0131701231440669
