Baseline,Distance,AvgA,MinA
2.00,2,0.61,0.34
2.00,3,0.70,0.37
2.00,4,0.86,0.45
2.00,5,1.17,0.88
2.00,6,1.38,1.17
2.00,7,1.52,1.36
2.00,8,1.61,1.48
2.00,9,1.67,1.56
2.00,10,1.73,1.64
2.00,11,1.76,1.68
2.00,12,1.79,1.72
2.00,13,1.81,1.75
2.00,14,1.83,1.77
2.00,15,1.84,1.79
3.00,2,0.81,0.36
3.00,3,1.21,0.63
3.00,4,1.75,1.37
3.00,5,2.09,1.83
3.00,6,2.33,2.14
3.00,7,2.49,2.33
3.00,8,2.59,2.47
3.00,9,2.66,2.56
3.00,10,2.71,2.62
3.00,11,2.74,2.66
3.00,12,2.78,2.71
3.00,13,2.80,2.74
3.00,14,2.82,2.76
3.00,15,2.83,2.77
4.00,2,1.11,0.40
4.00,3,1.95,1.35
4.00,4,2.63,2.25
4.00,5,3.06,2.81
4.00,6,3.31,3.12
4.00,7,3.47,3.32
4.00,8,3.58,3.46
4.00,9,3.63,3.54
4.00,10,3.69,3.60
4.00,11,3.73,3.65
4.00,12,3.77,3.70
4.00,13,3.79,3.73
4.00,14,3.81,3.76
4.00,15,3.83,3.78
4.75,2,1.49,0.55
4.75,3,2.74,2.18
4.75,4,3.39,3.01
4.75,5,3.81,3.54
4.75,6,4.03,3.79
4.75,7,4.17,3.99
4.75,8,4.29,4.16
4.75,9,4.38,4.26
4.75,10,4.43,4.34
4.75,11,4.48,4.38
4.75,12,4.51,4.43
4.75,13,4.54,4.46
4.75,14,4.56,4.49
4.75,15,4.57,4.51
